Route_Number,Reason,Schools_Serviced,Occurred_On,Boro,Bus_Company_Name,How_Long_Delayed,Number_Of_Students_On_The_Bus,Breakdown_or_Running_Late
M868,Heavy Traffic,4112,08 O'Clock,Manhattan,PRIDE TRANSPORTATION ,10 MIN,3,Running Late
K591,Heavy Traffic,13012,07 O'Clock,Brooklyn,PRIDE TRANSPORTATION ,1 HR,8,Running Late
M704,Problem Run,1378,06 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,15 MIN,3,Running Late
X051,Heavy Traffic,11012,06 O'Clock,Bronx,VAN TRANS LLC,10 MIN,3,Running Late
X369,Heavy Traffic,7454,06 O'Clock,Bronx,VAN TRANS LLC,15 MIN,4,Running Late
X047,Heavy Traffic,11012,06 O'Clock,Bronx,VAN TRANS LLC,15 MIN,5,Running Late
M657,Problem Run,2911,06 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,30 MIN,2,Running Late
W977,Heavy Traffic,75615,06 O'Clock,Westchester,"BORO TRANSIT, INC.",25-35 MIN,2,Running Late
X060,Other,12486,07 O'Clock,Bronx,"BORO TRANSIT, INC.",35-45 MIN,3,Running Late
M753,Heavy Traffic,3480,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,15 MIN,2,Running Late
X341,Heavy Traffic,12084,06 O'Clock,Bronx,VAN TRANS LLC,10 MIN,4,Running Late
X019,Other,7475,07 O'Clock,Bronx,VAN TRANS LLC,35 MIN,8,Running Late
M696,Problem Run,2035,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,30 MIN,6,Running Late
W950,Other,75847,07 O'Clock,Bronx,"RELIANT TRANS, INC.",15 MIN,5,Running Late
L726,Heavy Traffic,18002,07 O'Clock,Brooklyn,"RELIANT TRANS, INC.",-1,2,Running Late
X951,Heavy Traffic,10264,07 O'Clock,Bronx,PRIDE TRANSPORTATION ,10 MIN,4,Running Late
M936,Heavy Traffic,1400,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,10 MIN,4,Running Late
M666,Heavy Traffic,2699,07 O'Clock,Manhattan,PRIDE TRANSPORTATION ,10 MIN,3,Running Late
M257,Heavy Traffic,4112,07 O'Clock,Manhattan,PRIDE TRANSPORTATION ,30 MIN,5,Running Late
M603,Heavy Traffic,2622,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,20 MIN,6,Running Late
